density,risk_type,lambda,n_valid,astar_time_ms,ils_time_ms,speedup,astar_nodes,ils_nodes,node_reduction_pct,path_opt_ratio,exposure_ratio,mean_expansions,wilcoxon_p,rank_biserial,cohens_dz,node_red_ci_lo,node_red_ci_hi,holm_p,significant
0.1,gradient,0.0,100,7.602480020141229,8.404966670495924,0.9045223280692266,1586.34,1586.34,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,False
0.1,gradient,0.1,100,38.25317876035115,27.878340039605973,1.3721469322063629,6185.35,4498.9,27.26523155520707,1.0,1.0,1.0,3.8945820011567e-18,1.0,5.804113053748717,0.26478673490322524,0.2767013349093096,2.1011768192063883e-16,True
0.1,gradient,0.5,100,123.98445590020856,30.865443799848435,4.016934170919564,18964.11,4976.32,73.75927475636874,1.0,1.0,1.0,3.8948017145896716e-18,1.0,30.72835091570824,0.7363735437280531,0.7385493634986521,2.1011768192063883e-16,True
0.1,gradient,1.0,100,182.95727417935268,29.672551239927998,6.165876088644565,28885.05,5029.35,82.58839780440054,1.0,1.0,1.0,3.895680685825538e-18,1.0,64.36828055668462,0.8254430848622344,0.8262725454965463,2.1011768192063883e-16,True
0.1,gradient,2.0,100,208.18305165070342,27.291129210207146,7.628231505087043,35920.9,5031.87,85.99180421425967,1.0,1.0,1.0,3.892165928709803e-18,1.0,473.7300167447346,0.8597988256521668,0.8600362841032555,2.1011768192063883e-16,True
0.1,gradient,5.0,100,190.8626696401916,25.614952489559073,7.451220911613607,36034.12,5034.72,86.02790910392706,1.0,1.0,1.0,3.891068183715534e-18,1.0,571.750407152388,0.8601495965082236,0.8604092340213608,2.1011768192063883e-16,True
0.1,hotspot,0.0,100,6.917792439344339,7.557534550578566,0.9153504218931753,1526.57,1526.57,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,False
0.1,hotspot,0.1,100,13.035650010715472,13.923567129822914,0.9362291925030037,2353.54,2352.04,0.06373377975305017,1.0,1.0,1.0,0.31731050786291415,1.0,0.1,0.0,0.0011574074074074073,1.0,False
0.1,hotspot,0.5,100,20.962562069908017,16.922892930015223,1.2387103172370635,3755.92,2911.99,22.46932842020065,1.0005270967758872,1.0965050399971028,1.0,3.609918967105209e-14,1.0,0.6372922649389624,0.11544443833856276,0.17740351055927134,2.887935173684167e-13,True
0.1,hotspot,1.0,100,31.225785389979137,18.83740620003664,1.6576478236116394,5555.67,3267.96,41.17793173460627,1.0046324203477779,1.6634149820078639,1.0,4.839230714203236e-16,1.0,0.8644175637393826,0.2336780974886476,0.325638765708698,4.3553076427829125e-15,True
0.1,hotspot,2.0,100,35.8450579289638,18.584861279377947,1.9287234588475533,6486.89,3295.47,49.197997807886374,1.0191430099000138,2.699761939491134,1.0,3.14543729718363e-17,1.0,0.9606508971903752,0.3201059440647376,0.4127209969934148,3.459981026901993e-16,True
0.1,hotspot,5.0,100,45.84711164003238,19.547935759474058,2.34536844218,7889.16,3312.37,58.013654178645126,1.0694823277125927,6.943950460298019,1.0,3.3840039399023573e-17,0.9989056087551299,0.9484996117570941,0.3783187124037561,0.48175117746091733,3.459981026901993e-16,True
0.1,uniform,0.0,100,7.489291230158415,8.090868730359944,0.9256473537947555,1507.38,1507.38,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,False
0.1,uniform,0.1,100,20.469699089881033,21.080993709911127,0.971002570920426,3748.65,3621.23,3.3990903391887817,1.0,1.0,1.0,4.8055271020091824e-18,1.0,1.080237156214353,0.026754314791077698,0.036577526603470044,2.1011768192063883e-16,True
0.1,uniform,0.5,100,52.67428958934033,25.920872140559368,2.032118722846477,9538.51,4698.43,50.74251638882803,1.0,1.0,1.0,3.893483610217646e-18,1.0,15.504384148989624,0.5041558468276492,0.5096308302236794,2.1011768192063883e-16,True
0.1,uniform,1.0,100,78.62970748974476,25.9065895396634,3.0351238386419572,14532.5,4901.93,66.26918974711853,1.0,1.0,1.0,3.894362299472808e-18,1.0,25.694891965958274,0.6611292783757309,0.6639131070458303,2.1011768192063883e-16,True
0.1,uniform,2.0,100,116.82934875090723,26.398926579859108,4.425534060920547,20608.22,4994.43,75.76486469961986,1.0,1.0,1.0,3.8948017145896716e-18,1.0,39.534347085429815,0.7567659304075149,0.7583956638896036,2.1011768192063883e-16,True
0.1,uniform,5.0,100,152.73794792985427,25.618800828960957,5.961947592691011,28158.65,5031.76,82.13067742949325,1.0,1.0,1.0,3.8948017145896716e-18,1.0,63.31773643576699,0.8207936035105924,0.8217588758605137,2.1011768192063883e-16,True
0.2,gradient,0.0,100,12.591454230423551,13.204974189720815,0.9535387233263319,2950.87,2900.87,1.6944155452459753,1.0,1.0,1.0,2.632461706134136e-09,1.0,0.5679137236853019,0.009855912387016727,0.019469102611143294,1.316230853067068e-08,True
0.2,gradient,0.1,100,37.666704099829076,21.66274673960288,1.7387778453305953,7232.62,4122.66,42.99907917186303,1.0000000912840101,1.0000025502515475,1.0,3.896340037647931e-18,1.0,7.341669131479786,0.42210476555564236,0.4337551450934176,2.1011768192063883e-16,True
0.2,gradient,0.5,100,102.63707662103116,23.233409620443126,4.417650198476275,18744.16,4437.77,76.32451921025002,1.0,1.0,1.0,3.896120241954008e-18,1.0,27.064734221633845,0.7618116546781185,0.7643223306430283,2.1011768192063883e-16,True
0.2,gradient,1.0,100,148.64584041002672,22.759006189444335,6.5312975080154825,27188.32,4468.37,83.56511178329518,1.0,1.0,1.0,3.896340037647931e-18,1.0,48.229976372830954,0.8349806421566267,0.83619226505857,2.1011768192063883e-16,True
0.2,gradient,2.0,100,183.8595583802089,23.307480858493363,7.888435455400559,32043.99,4475.17,86.03429223389472,1.0,1.0,1.0,3.891726795488223e-18,1.0,387.4008819806735,0.8601732531810935,0.8605189129860247,2.1011768192063883e-16,True
0.2,gradient,5.0,100,189.77589752117638,24.79997002024902,7.652263182827461,32076.54,4472.79,86.05588383285728,1.000003833979713,1.0000168315645543,1.0,3.894362299472808e-18,1.0,336.08255776053767,0.8603715882804701,0.8607393132103472,2.1011768192063883e-16,True
0.2,hotspot,0.0,100,13.977741590351798,14.635839990660315,0.9550351465492602,3008.56,2950.06,1.9444518307761838,1.0,1.0,1.0,2.3845589696351226e-10,1.0,0.589370703287788,0.011613545038562751,0.021778827200764732,1.669191278744586e-09,True
0.2,hotspot,0.1,100,23.486769210430793,22.76378249982372,1.031760394416555,3716.49,3342.99,10.049805057998274,1.0,1.0,1.0,5.293758641979263e-18,1.0,1.23868208160954,0.08067277526933682,0.10461344868162392,2.1011768192063883e-16,True
0.2,hotspot,0.5,100,34.298388379393145,22.55024000085541,1.5209766449533169,5389.71,3448.26,36.02141859209493,1.0011470377231753,1.2729154187117553,1.0,4.856492382472658e-18,1.0,1.2155080829714373,0.27300994481819174,0.3374352958553542,2.1011768192063883e-16,True
0.2,hotspot,1.0,100,33.031415810692124,20.333405808341922,1.6244900692996918,5788.96,3420.12,40.919957988999755,1.0063890857302347,1.9102646283103066,1.0,4.074090154729743e-18,1.0,1.22440788308574,0.31264585618561697,0.3837824967490634,2.1011768192063883e-16,True
0.2,hotspot,2.0,100,39.628162090375554,20.037120390334167,1.9777373853326765,6974.55,3406.97,51.151400448774474,1.0216869574278258,2.8042908050137543,1.0,3.955242439909176e-18,1.0,1.0739356044072788,0.38570636223905513,0.4609863135799102,2.1011768192063883e-16,True
