density,risk_type,lambda,alpha,n_valid,n_failed,speedup_mean,speedup_std,node_red_mean,node_red_std,opt_ratio_mean,opt_ratio_std
0.3,hotspot,0.5,0.15,30,0,1.0758831420246981,0.46835000183155034,1.9368373173574325,4.802173559596325,1.000010559282418,5.783557171336813e-05
0.3,hotspot,0.5,0.2,30,0,1.049288168645054,0.433201776766581,0.1453977409276615,0.7963762251637232,1.0,0.0
0.3,hotspot,0.5,0.25,30,0,1.044708442930341,0.4463436463336989,0.0,0.0,1.0,0.0
0.3,hotspot,0.5,0.3,30,0,1.0507185846877383,0.44468520694436664,0.0,0.0,1.0,0.0
0.3,hotspot,1.0,0.01,30,0,4.126017584400054,1.942847974288741,67.36831093097605,16.766830900077785,1.025345076264451,0.020803959725831864
0.3,hotspot,1.0,0.02,30,0,4.535608130343998,2.1851438074644887,69.50777336124523,15.366704894023043,1.025345076264451,0.020803959725831864
0.3,hotspot,1.0,0.03,30,0,3.448330233491866,1.2613720210364383,65.93474568697235,9.772148336921203,1.015340997597943,0.017725568138102603
0.3,hotspot,1.0,0.05,30,0,2.103655390172639,0.7316126980359332,47.02217776127945,14.27254606057825,1.0062719085504548,0.014285397910080724
0.3,hotspot,1.0,0.07,30,0,1.7321462359886763,0.5912684115000162,36.299913227129714,16.107495226445597,1.0048192824630258,0.013281558142575435
0.3,hotspot,1.0,0.1,30,0,1.269748235187048,0.42809197544695465,16.339925549494765,16.274862986776615,1.0028192788322543,0.01235009046880507
0.3,hotspot,1.0,0.15,30,0,1.0609753124894192,0.32448366543776425,5.025561574378171,8.636480612158525,1.001830665775466,0.010026969404754726
0.3,hotspot,1.0,0.2,30,0,1.0296705887632982,0.3485589783951804,0.9439127336929668,3.4164844521486586,1.0012361039176256,0.006770419991040049
0.3,hotspot,1.0,0.25,30,0,1.0318263255526514,0.36716782902987305,0.2676424109943013,1.1307223909142736,1.0,0.0
0.3,hotspot,1.0,0.3,30,0,0.987953593332211,0.39621960188519784,0.0,0.0,1.0,0.0
