N,algo,median_ms,speedup_vs_astar,mean_nodes
200,astar,4.0667,1.0,27013
200,ils,0.5997,6.781,4461
200,ails,0.6918,5.878,3460
200,dstar,27.4302,0.148,16406
500,astar,27.87,1.0,169115
500,ils,3.7766,7.38,26667
500,ails,4.2036,6.63,19769
500,dstar,158.64,0.176,90406
1000,astar,122.2923,1.0,673862
1000,ils,16.3901,7.461,108872
1000,ails,18.1186,6.75,83873
1000,dstar,647.0886,0.189,354585
