density,risk_type,lambda,n_valid,grid_size,astar_time_mean,astar_time_std,astar_nodes_mean,astar_nodes_std,astar_opt_mean,astar_opt_std,astar_speedup,astar_node_red,ils_time_mean,ils_time_std,ils_nodes_mean,ils_nodes_std,ils_opt_mean,ils_opt_std,ils_speedup,ils_node_red,ails_time_mean,ails_time_std,ails_nodes_mean,ails_nodes_std,ails_opt_mean,ails_opt_std,ails_speedup,ails_node_red
0.1,gradient,0.5,15,500,909.4323472682541,82.48570914607126,118329.4,1741.1131825029968,1.0,0.0,1.0,0.0,204.52899993494307,18.399660537356123,29783.066666666666,112.53092696592134,1.0,0.0,4.446471393091092,74.83037464343884,80.97207766938179,3.66548194452478,12373.6,507.4501805244389,1.000255154391766,0.0004856283414229522,11.231431543371901,89.54308903788915
0.1,gradient,1.0,15,500,1332.6575111335842,70.09034403196118,180075.86666666667,1249.3144901257228,1.0,0.0,1.0,0.0,204.88693326478824,40.52499298385816,29958.533333333333,64.35822365774985,1.0,0.0,6.504355792232525,83.36338239660469,83.24794986692723,19.07447606980003,12262.8,338.9644313409383,1.000334796614738,0.000871030517526926,16.008292255411117,93.19020353643539
0.1,hotspot,0.5,15,500,102.1141999323542,35.23174650700789,15763.466666666667,5080.294463719129,1.0,0.0,1.0,0.0,103.83830293236922,29.33070450578842,15158.0,4215.707651154193,1.0,0.0,0.9833962714015276,3.8409486914891877,64.14084159963143,6.784244581007372,9318.666666666666,987.5019469540783,1.001823667412253,0.002990018505597141,1.5920308712154625,40.88440782907313
0.1,hotspot,1.0,15,500,149.87706933655622,95.92259962759739,20738.466666666667,11848.445653735505,1.0,0.0,1.0,0.0,123.94113053257267,47.00063439243713,17503.066666666666,7008.674425989825,1.0007618163550616,0.0018158445618590095,1.2092601438484327,15.60096053388712,70.27048040375423,11.514951799474531,9747.266666666666,1797.2652028912732,1.009106900633738,0.011722839969650992,2.132859608692087,52.99909668667243
0.1,uniform,0.5,15,500,401.31396393311053,57.548065757499195,58590.933333333334,1094.1875307190046,1.0,0.0,1.0,0.0,183.45004713143376,20.105114600307445,28096.266666666666,178.30370025271355,1.0,0.0,2.18759259105334,52.04673305539879,75.31492493387002,5.612763697779576,12025.4,395.07156675359823,1.0003099120098988,0.0005740860181848847,5.328478575600822,79.47566403903221
0.1,uniform,1.0,15,500,584.6426112014645,54.6256705664365,89768.8,1465.3829436118638,1.0,0.0,1.0,0.0,187.84548326802906,37.008401587770834,29176.933333333334,228.74329550414203,1.0,0.0,3.1123591636603893,67.49769036309571,73.64453053451143,5.167237939719833,12223.666666666666,356.31921215727476,1.0000677276827348,0.0002623081873090033,7.938710545890278,86.38316801977227
0.2,gradient,0.5,15,500,791.9522944663186,72.34229851243622,115597.66666666667,1851.0280026695075,1.0,0.0,1.0,0.0,162.73499446591208,23.383314451779704,26479.533333333333,130.24475128808547,1.0,0.0,4.866515017654718,77.0933669364722,118.34488900009698,5.045813108173382,19425.733333333334,540.2769748229232,1.000062900179716,0.00017225095934614938,6.691901113411578,83.19539321727947
0.2,gradient,1.0,15,500,1158.1225305330008,69.32195711932768,169031.46666666667,1529.7700978843038,1.0,0.0,1.0,0.0,153.29336099966895,3.0024306099822056,26659.133333333335,67.81052032440591,1.0,0.0,7.554942516626678,84.22830147601708,115.2793500640352,4.971981361000783,19659.733333333334,438.77857524637426,1.0000183879255886,6.309211980247154e-05,10.046227098692773,88.3691872755842
0.2,hotspot,0.5,15,500,136.80781666577482,29.114630921418094,22369.666666666668,4108.602120058887,1.0,0.0,1.0,0.0,123.17711946961936,13.822691164571271,19784.666666666668,2222.221111110833,1.0,0.0,1.1106593274371654,11.555827087275928,97.28066673366509,7.562010141731589,15646.8,1098.054656459062,1.0007375999555426,0.0011012785068362173,1.406320713655542,30.053495060275083
0.2,hotspot,1.0,15,500,158.11435566768827,53.31311787970351,24906.533333333333,6129.113439346751,1.0,0.0,1.0,0.0,120.0853277356752,14.49928569750738,19777.333333333332,2252.4284249502375,1.0010384982823883,0.002886719674377574,1.3166833837995626,20.593793328658084,95.86722220119555,8.644811450285479,15505.6,1466.4435014200658,1.0049501079179641,0.009478639937379428,1.6493056963291928,37.74484874116028
0.2,uniform,0.5,15,500,363.3052721997956,17.709149879991337,63856.53333333333,1618.0824571372245,1.0,0.0,1.0,0.0,139.23754433247572,3.603053274567581,25483.6,210.5291971607332,1.0,0.0,2.609247914716766,60.09241549807485,104.96488340043773,6.717763356684347,18849.533333333333,628.3960155673748,1.000121281131235,0.0003200602472884239,3.461207790931348,70.48143337982644
0.2,uniform,1.0,15,500,506.25150280053884,22.444315750101502,92236.0,1521.2125332867106,1.0,0.0,1.0,0.0,138.06504160165787,3.7153441336978235,26195.933333333334,203.15035482781383,1.0,0.0,3.6667609477941867,71.59901412319122,103.3294556022156,5.00060588925327,19377.733333333334,544.989051877803,1.0002045997896825,0.0005521699961445101,4.899391948307949,78.99113867325845
0.3,gradient,0.5,15,500,674.6564054667639,56.0644855232408,113717.6,2321.233286731123,1.0,0.0,1.0,0.0,125.54106659954414,6.271683960442427,23246.4,161.63397804033303,1.0,0.0,5.373989752841671,79.55778173299471,136.1753971335323,8.503994007971036,24263.4,496.5060494524283,1.0002067090751763,0.0005367660042594806,4.954319353335186,78.66346106495389
0.3,gradient,1.0,15,500,890.1286999995742,37.26542708329655,156694.73333333334,1049.975133492399,1.0,0.0,1.0,0.0,119.54093086630262,2.9219074332257517,23293.866666666665,70.65799587415695,1.0,0.0,7.446225268189647,85.13423765359482,127.00037773077686,3.8186241257815867,24350.133333333335,421.99337616105964,1.00020927869423,0.0006160351823816267,7.0088665553934275,84.46014565050261
0.3,hotspot,0.5,15,500,163.10833633372872,33.66981895820878,30680.0,4029.9741048441347,1.0,0.0,1.0,0.0,106.81399993191008,8.070228946423285,19823.666666666668,1177.7088936130347,1.0000177270836021,6.865669956735665e-05,1.5270314419243187,35.38570186875272,112.25004173368991,5.449902008516839,20275.333333333332,1085.4494570497163,1.000884652974456,0.0012551593382169094,1.4530804070496355,33.91351586266841
0.3,hotspot,1.0,15,500,173.60110853527053,44.79221823833806,32512.266666666666,7527.115796207988,1.0,0.0,1.0,0.0,104.96909726546922,9.45398693204464,19357.4,1192.8013725200499,1.0005898691721078,0.0010743776416178466,1.653830632612086,40.46124129559304,111.43361686457258,13.76385474154162,19626.266666666666,1253.2179987460092,1.001149627058978,0.0019960101706055842,1.5578881258628738,39.63427137244609
