size,density,corridor_width,n_valid,plan_time_ms,node_red_pct,opt_ratio,waypoints_after,compression_pct,mean_heading_deg,pipeline_speedup
50,0.2,0.15,100,1218.5,0.0,1.0,17.03,68.81,12.85,0.895
50,0.25,0.03,100,668.0,25.289,1.005382,22.27,60.72,16.84,1.5093
50,0.25,0.05,100,656.5835,21.964,1.003502,21.79,61.41,16.51,1.4765
50,0.25,0.07,100,990.4795,17.727,1.00103,21.4,61.87,16.14,1.1836
50,0.25,0.1,100,1275.021,3.864,1.000385,20.61,63.28,15.49,0.9722
50,0.25,0.15,100,1324.3335,0.0,1.0,20.74,62.97,15.62,0.9073
50,0.3,0.03,100,1068.8955,17.487,1.010144,25.86,55.91,19.28,1.3754
50,0.3,0.05,100,1112.042,14.741,1.006851,25.61,55.89,19.18,1.3133
50,0.3,0.07,100,950.792,21.361,1.004344,24.19,58.21,18.07,1.2922
50,0.3,0.1,100,1217.3745,10.869,1.001589,23.78,58.87,17.63,1.0622
50,0.3,0.15,100,1391.3545,0.133,1.000032,23.56,59.11,17.45,0.9103
60,0.1,0.03,100,894.042,12.923,1.000755,12.2,80.61,7.53,1.2066
60,0.1,0.05,100,1081.375,0.0,1.0,11.12,82.26,6.76,0.9094
60,0.1,0.07,100,1105.6875,0.206,1.0,11.75,81.27,7.22,0.906
60,0.1,0.1,100,1114.729,0.0,1.0,11.71,81.35,7.18,0.8879
60,0.1,0.15,100,1123.792,0.0,1.0,11.52,81.63,7.05,0.8842
60,0.15,0.03,100,846.0,23.545,1.001493,16.39,74.48,10.43,1.4371
60,0.15,0.05,100,1326.0,4.29,1.0,16.56,74.21,10.53,1.0014
60,0.15,0.07,100,1279.1875,3.126,1.0,15.79,75.33,10.0,0.9782
60,0.15,0.1,100,1414.4375,0.0,1.0,15.91,75.15,10.09,0.9861
60,0.15,0.15,100,1421.917,0.0,1.0,16.59,74.16,10.55,0.8971
60,0.2,0.03,100,817.708,32.084,1.003492,21.63,67.16,13.86,1.66
60,0.2,0.05,100,1367.6045,12.865,1.000728,20.79,68.33,13.3,1.1283
60,0.2,0.07,100,1311.3955,13.038,1.000741,20.14,69.29,12.83,1.1215
60,0.2,0.1,100,1610.7295,0.0,1.0,19.19,70.55,12.24,0.9025
60,0.2,0.15,100,1660.9375,0.0,1.0,20.08,69.33,12.83,0.907
60,0.25,0.03,100,786.9165,30.459,1.006676,26.06,61.65,16.65,1.7106
60,0.25,0.05,100,1268.521,20.219,1.001978,24.17,63.96,15.39,1.2228
60,0.25,0.07,100,1225.625,21.949,1.001593,23.79,64.52,15.1,1.2803
60,0.25,0.1,100,1818.167,0.669,1.0,24.19,63.89,15.36,0.9313
60,0.25,0.15,100,1786.7705,0.0,1.0,23.54,64.81,14.95,0.9192
60,0.3,0.03,100,1323.167,27.419,1.007831,29.85,57.23,18.73,1.5828
60,0.3,0.05,100,1228.3125,25.648,1.005955,29.51,57.56,18.43,1.4685
60,0.3,0.07,100,1150.4585,29.687,1.00558,29.22,57.91,18.31,1.4487
60,0.3,0.1,100,1827.1455,5.761,1.00051,28.11,59.31,17.58,1.0018
60,0.3,0.15,100,1915.0625,0.143,1.0,27.47,60.11,17.22,0.9103
70,0.1,0.03,100,1069.0625,18.007,1.000883,13.32,81.82,7.14,1.32
70,0.1,0.05,100,1453.4375,0.624,1.0,13.07,82.13,7.0,0.9369
70,0.1,0.07,100,1427.521,0.0,1.0,12.8,82.49,6.83,0.8902
70,0.1,0.1,100,1539.459,0.0,1.0,13.3,81.84,7.13,0.8866
70,0.1,0.15,100,1567.333,0.0,1.0,13.53,81.54,7.27,0.9563
70,0.15,0.03,100,1009.271,32.908,1.002068,19.23,74.4,10.61,1.6556
70,0.15,0.05,100,1636.2505,6.743,1.0,17.94,75.95,9.88,1.0471
70,0.15,0.07,100,1817.6455,0.536,1.0,17.95,75.96,9.87,0.933
70,0.15,0.1,100,1799.562,0.0,1.0,17.44,76.57,9.6,0.9076
70,0.15,0.15,100,1821.0005,0.0,1.0,18.01,75.88,9.91,0.8966
70,0.2,0.03,100,985.2715,34.885,1.004331,24.6,68.01,13.59,1.7764
70,0.2,0.05,100,1649.166,20.597,1.000772,23.56,69.18,13.04,1.2826
70,0.2,0.07,100,1953.8125,2.747,1.0,21.48,71.69,11.86,0.9623
70,0.2,0.1,100,2270.8335,0.303,1.0,22.42,70.53,12.4,0.9226
70,0.2,0.15,100,2265.875,0.0,1.0,22.38,70.64,12.35,0.9156
70,0.25,0.03,100,1033.6045,36.303,1.005726,29.99,62.04,16.5,2.0861
70,0.25,0.05,100,1522.5415,29.665,1.002257,28.19,64.03,15.43,1.4739
70,0.25,0.07,100,2005.5,10.522,1.000558,26.9,65.38,14.8,1.0876
70,0.25,0.1,100,2446.688,2.352,1.0,27.25,65.08,14.96,0.9509
70,0.25,0.15,100,2605.312,0.0,1.0,27.49,64.81,15.08,0.9112
70,0.3,0.03,100,1660.7915,30.274,1.009371,33.54,58.75,18.21,1.6739
70,0.3,0.05,100,1416.7705,37.151,1.004682,33.46,58.62,18.14,1.6724
70,0.3,0.07,100,1893.6255,23.456,1.002113,33.58,58.35,18.16,1.3266
70,0.3,0.1,100,2241.9995,8.955,1.000158,31.73,60.3,17.2,1.0601
70,0.3,0.15,100,2623.021,0.017,1.0,32.03,60.0,17.36,0.9137
80,0.1,0.03,100,1217.4785,22.819,1.000772,15.01,82.05,7.17,1.4032
80,0.1,0.05,100,1799.75,1.296,1.0,14.85,82.23,7.09,0.981
80,0.1,0.07,100,1951.7915,0.0,1.0,14.56,82.57,6.93,0.9086
80,0.1,0.1,100,1855.0,0.0,1.0,14.3,82.87,6.79,0.9015
80,0.1,0.15,100,1907.4585,0.0,1.0,14.26,82.91,6.77,0.8996
80,0.15,0.03,100,1204.1875,32.508,1.002166,20.29,76.23,9.88,1.6836
80,0.15,0.05,100,1956.4585,9.641,1.000021,19.28,77.3,9.39,1.1151
80,0.15,0.07,100,2307.0415,0.353,1.0,19.52,77.01,9.51,0.9211
80,0.15,0.1,100,2427.125,0.0,1.0,20.38,76.11,9.93,0.9068
80,0.15,0.15,100,2451.729,0.0,1.0,20.15,76.34,9.82,0.9054
80,0.2,0.03,100,1128.771,38.918,1.003474,27.0,69.17,13.18,1.9189
80,0.2,0.05,100,1894.0205,22.76,1.001233,26.09,70.04,12.75,1.3411
80,0.2,0.07,100,2571.208,6.923,1.000202,24.89,71.39,12.13,1.0369
80,0.2,0.1,100,2758.1665,0.0,1.0,24.71,71.5,12.06,0.909
80,0.2,0.15,100,2779.8745,0.0,1.0,24.92,71.28,12.16,0.9073
80,0.25,0.03,100,1118.5,37.301,1.006464,33.73,62.64,16.24,2.047
80,0.25,0.05,100,1767.0625,33.646,1.00233,31.71,64.46,15.37,1.6536
80,0.25,0.07,100,2402.3125,16.911,1.00067,30.38,65.9,14.68,1.1984
80,0.25,0.1,100,3390.5835,0.812,1.000049,31.44,64.77,15.19,0.9331
