density,risk_type,lambda,n_valid,astar_time_mean,astar_time_std,astar_nodes_mean,astar_nodes_std,astar_opt_mean,astar_opt_std,astar_speedup,astar_node_red,wa1.5_time_mean,wa1.5_time_std,wa1.5_nodes_mean,wa1.5_nodes_std,wa1.5_opt_mean,wa1.5_opt_std,wa1.5_speedup,wa1.5_node_red,wa2.0_time_mean,wa2.0_time_std,wa2.0_nodes_mean,wa2.0_nodes_std,wa2.0_opt_mean,wa2.0_opt_std,wa2.0_speedup,wa2.0_node_red,wa3.0_time_mean,wa3.0_time_std,wa3.0_nodes_mean,wa3.0_nodes_std,wa3.0_opt_mean,wa3.0_opt_std,wa3.0_speedup,wa3.0_node_red,ils_time_mean,ils_time_std,ils_nodes_mean,ils_nodes_std,ils_opt_mean,ils_opt_std,ils_speedup,ils_node_red
0.1,gradient,0.5,50,121.44862747984007,6.8552429026041715,18947.32,416.32711040375796,1.0,0.0,1.0,0.0,1.7075033450964838,0.19023666645246304,214.52,6.7468511173732,1.0081666982478354,0.004930423427465522,71.12643604980904,98.86780821773212,1.633680734084919,0.14077207438922604,211.22,4.097236500224939,1.0086743379952834,0.005522772190837962,74.34049073723553,98.88522492890816,1.5942274953704327,0.11208269446386249,210.54,3.1636326317338788,1.0100889174144576,0.006041974199676585,76.18023640447903,98.88881382696867,29.95234675705433,0.6188799671644253,4989.62,39.11828738791188,1.0,0.0,4.054728281056532,73.6658271460027
0.1,gradient,1.0,50,183.98100335616618,8.281155608135856,28890.26,359.70531079238305,1.0,0.0,1.0,0.0,16.403394921217114,2.6316666898105443,2631.66,401.6869331269042,1.004421066579501,0.0030343579380222863,11.216032061643189,90.8908400270541,1.6687550011556596,0.11493619395662154,211.28,3.4819651969330567,1.0079311864428162,0.00411935309368943,110.25045811323663,99.26868086337748,1.6300975589547306,0.11444234470902641,209.54,2.305361984060425,1.0083473324003658,0.004176358524167675,112.86502598908285,99.27470365444964,29.209567497018725,0.6818723703713968,5032.36,28.090785765050416,1.0,0.0,6.298655513298655,82.5811190345812
0.1,gradient,2.0,50,218.34604080300778,4.424517155586302,35927.42,68.28454571624145,1.0,0.0,1.0,0.0,163.41820424073376,10.609199135452883,25770.76,543.1839828121532,1.0026008803623903,0.0018122499237643583,1.3361182238997011,28.26993978415372,20.450766645371914,2.6907058042443235,3308.12,436.16785010978026,1.0066818986316861,0.003817368058077522,10.676667754771938,90.7922138578278,1.6879683616571128,0.4013512576926528,211.94,3.819445413316719,1.0126106482078434,0.007391479397204197,129.35434440764817,99.41008845054836,28.207881663693115,0.9201125447231999,5033.04,20.003020180126065,1.0,0.0,7.740603970416006,85.99108981385248
0.1,hotspot,0.5,50,23.75466911587864,15.551979649055376,3937.06,2576.9987242716984,1.0,0.0,1.0,0.0,1.6101866983808577,0.09908584833536933,212.5,3.098715994783409,1.010736093447217,0.005575364521606339,14.752742113548342,94.60257146195384,1.6133625037036836,0.10529183628068395,211.04,2.3901157003845,1.0111246421294668,0.006009655928601157,14.72370224382103,94.63965497096818,1.6216333187185228,0.10350507218489408,210.64,2.135797896117801,1.01216880868339,0.0065240757316842105,14.648606957983878,94.64981483645157,18.635142444400117,6.046149820754693,2986.48,1011.3770414637657,1.0,0.0,1.2747243111638757,24.14441232798078
0.1,hotspot,1.0,50,38.670415782835335,21.878256954304064,6235.1,3236.8975398788066,1.0,0.0,1.0,0.0,1.8386399850714952,0.5685130532031075,244.8,93.39339661138922,1.0246945102892833,0.015454637962283609,21.03207593482834,96.07384003464259,1.6340024722740054,0.13712299654257742,211.98,2.8819636163064732,1.0251534079811975,0.01591926162179987,23.666069323027745,96.60021491235105,1.6255925758741796,0.12869128282199052,211.32,2.518827067489622,1.026665566512573,0.01627832310842767,23.788504177954866,96.61080014755177,21.067795099224895,4.6501162699191445,3466.26,788.7086787908448,1.0035019509185834,0.00623298864701442,1.8355226828771491,44.40730701993553
0.1,hotspot,2.0,50,50.485065868124366,45.072729879907484,6966.46,4448.6060701926735,1.0,0.0,1.0,0.0,4.661454138113186,3.409506787850021,669.1,555.2923940206123,1.0414215863097283,0.03847852930645836,10.830325553424661,90.39540885901879,2.6448166405316442,3.8531261706401225,248.2,59.63665493842606,1.0641267823905471,0.06209331519071202,19.088304684129703,96.43721488388651,2.086519958684221,1.9631293855866936,210.58,2.374094886606735,1.0673288390222728,0.06419784610225478,24.195822166954358,96.97723090350048,22.530331758316606,7.006781780956026,3374.16,942.6632562553172,1.0236264943759457,0.03599571273656313,2.240759985679698,51.56564453108179
0.1,uniform,0.5,50,57.34122502151877,7.129998711787483,9600.24,380.8252885617803,1.0,0.0,1.0,0.0,1.725077424198389,0.3055989196246057,212.08,3.8905432179340003,1.0075360134277394,0.0038843802322152707,33.23979794597576,97.7908885611193,1.7415299732238054,0.37944930052740783,210.6,2.835633320182744,1.0076871931793099,0.0036314950761632634,32.92577555548612,97.80630484237895,1.695914245210588,0.259584431662605,210.42,2.7633904050300684,1.009319245670901,0.005153304152972097,33.8113941689301,97.80817979550511,27.963080019690096,3.8187202461061536,4706.74,88.87202677365438,1.0,0.0,2.0506047610328393,50.972684016232925
0.1,uniform,1.0,50,88.08191663469188,10.246909791381121,14625.4,378.46855745172786,1.0,0.0,1.0,0.0,1.7587124381680042,0.22142891325021258,215.52,4.175927124237057,1.0090703804575751,0.004942840505742779,50.083182857593286,98.52639927796847,1.7909242014866322,0.5028941220121161,212.5,2.734884245582378,1.009671237891787,0.005117855638233704,49.18238112008078,98.54704828585885,1.815225116442889,0.5940753072915645,211.42,2.5159896823382746,1.00995377525853,0.005097074794043343,48.52396313648249,98.5544326992766,32.17368008103222,21.329211202896065,4905.36,49.128635816017294,1.0,0.0,2.7377010156391774,66.45999425656734
0.1,uniform,2.0,50,119.17961330153048,6.97056360083536,20513.54,360.07415392739676,1.0,0.0,1.0,0.0,2.017778337467462,0.24314476423909995,267.8,37.13131688854505,1.005508735167451,0.0039008975509042944,59.0647699445095,98.69452078968331,1.7499017028603703,0.391132837601516,211.74,3.6186027295470993,1.0096024870756763,0.004912940668301957,68.10646169823184,98.96780370428507,1.6853467165492475,0.29035586738786084,210.54,3.0116101869875767,1.0100772210763935,0.004967865025399512,70.71519001475916,98.97365349910352,26.70135079184547,1.1203672325378409,4992.64,33.30487492661624,1.0,0.0,4.4634301174728455,75.66173366469171
0.2,gradient,0.5,50,107.67918747733347,5.884151070362724,18746.42,445.6135916477689,1.0,0.0,1.0,0.0,1.7477541614789516,0.20896786192038755,252.84,15.131208457613525,1.01817757307561,0.006468235013766895,61.610030661414775,98.65126248104971,1.5624899824615568,0.159337011976503,233.4,7.165677830848259,1.0224944602222195,0.0069831533271636475,68.91512181581797,98.75496228079814,1.5685665851924568,0.16424059826907764,228.5,5.729444180044422,1.027568919672926,0.009544530523642328,68.64814569801744,98.78110060480881,23.885496581206098,0.812125561923576,4441.14,41.06292334295487,1.0,0.0,4.50814104329985,76.30939667413831
