density,n_valid,astar_time_mean,astar_time_std,dstar_time_mean,dstar_time_std,ils_time_mean,ils_time_std,dstar_speedup,ils_speedup,astar_nodes_mean,astar_nodes_std,dstar_nodes_mean,dstar_nodes_std,ils_nodes_mean,ils_nodes_std,dstar_node_red_pct,ils_node_red_pct,dstar_opt_mean,dstar_opt_std,ils_opt_mean,ils_opt_std
0.1,83,3.6133584220674875,1.232648428372841,39.46149897644526,15.39167165142417,4.913744542969346,7.414631214003161,0.09156667931505381,0.7353574021745861,774.6987951807229,227.2002842094881,918.8192771084338,335.1504993056655,774.6987951807229,227.2002842094881,-18.603421461897373,0.0,1.0001106172227276,0.0010016815547087316,1.0,0.0
0.2,74,5.716449297914231,1.3599100868172065,29.1628474062875,17.315644763589784,6.376555756621717,1.9696345165689209,0.19601821517201254,0.896479152084258,1315.418918918919,316.44394023018407,691.1486486486486,367.16308505287685,1297.972972972973,301.08092813549445,47.45790571290618,1.3262653969036808,1.0007217143750098,0.0026015607189830256,1.0000427361273132,0.00036513763182606686
0.3,69,8.188887028339103,4.18944254630502,24.53041723208077,15.643896129792525,6.815239144497605,0.9888835774200229,0.33382583552756345,1.2015553459999324,1887.7101449275362,401.6413787216767,607.5072463768116,394.40213962507283,1551.072463768116,236.91518207010535,67.8177686331112,17.8331234837085,1.0008624018563865,0.0034068159648334797,1.0016655415540965,0.005685134612033857
