density,risk_type,lambda,n_valid,astar_time_mean,astar_time_std,astar_nodes_mean,astar_nodes_std,astar_opt_mean,astar_opt_std,astar_exposure_mean,astar_exposure_std,astar_speedup,astar_node_red,ils_time_mean,ils_time_std,ils_nodes_mean,ils_nodes_std,ils_opt_mean,ils_opt_std,ils_exposure_mean,ils_exposure_std,ils_speedup,ils_node_red,rils_time_mean,rils_time_std,rils_nodes_mean,rils_nodes_std,rils_opt_mean,rils_opt_std,rils_exposure_mean,rils_exposure_std,rils_speedup,rils_node_red,ails_time_mean,ails_time_std,ails_nodes_mean,ails_nodes_std,ails_opt_mean,ails_opt_std,ails_exposure_mean,ails_exposure_std,ails_speedup,ails_node_red
0.1,gradient,0.5,50,119.29014744033339,12.693182820581113,18909.86,378.5306721996493,1.0,0.0,1.0,0.0,1.0,0.0,29.489429980749264,0.6618046132874219,4971.24,33.81556217036705,1.0,0.0,1.0,0.0,4.045183223894329,73.71085772184458,91.0679633601103,2.2661274363668205,14208.34,197.35078165644077,1.0,0.0,1.0,0.0,1.309902440319479,24.862796445875325,14.843458339746576,0.5481203190534913,2560.96,69.77425991681156,1.000395965925594,0.0010537019360623092,1.0009986128386672,0.002548800088217947,8.036546787813469,86.45701237343904
0.1,gradient,1.0,50,176.4403057997697,10.385344379435047,28927.1,454.59132801913864,1.0,0.0,1.0,0.0,1.0,0.0,28.662630719773006,0.7494078255543661,5022.36,23.825693556943683,1.0,0.0,1.0,0.0,6.155761050853291,82.63787244487004,100.32911339978455,3.0430466685248097,16419.14,144.532887296297,1.0,0.0,1.0,0.0,1.7586152196591482,43.23959193973816,14.587435819557868,0.8463707108971777,2582.72,60.17696352239377,1.000191047114607,0.0006246731206645612,1.000492488207241,0.00143620519294174,12.095361239787614,91.07162487770984
0.1,gradient,2.0,50,216.17989491933258,11.823672239902217,35910.42,82.1124390884915,1.0,0.0,1.0,0.0,1.0,0.0,29.149565019179136,8.835538340594288,5028.2,24.36792806882331,1.0,0.0,1.0,0.0,7.416230560459331,85.99793597512922,99.90474996011471,8.051471881984813,16851.4,42.66767643362945,1.0,0.0,1.0,0.0,2.1638600267318497,53.07378749677669,14.43704258010257,0.762581633994624,2589.92,80.33446410133685,1.00025878943347,0.0008950692538941854,1.000446422134225,0.0014390413810396268,14.973973632056483,92.78783149848987
0.1,hotspot,0.5,50,21.6327933195862,10.394902271359218,3768.16,1809.797940689084,1.0,0.0,1.0,0.0,1.0,0.0,19.425764119951054,10.02481435692556,3035.5,922.3400198651785,1.000007508017378,5.308970001370824e-05,1.012570069204164,0.08888381174248403,1.1136135076080964,19.44344189206403,23.784517460153438,10.782615665559335,3760.34,1793.388602048977,1.0,0.0,1.0,0.0,0.9095325711706342,0.20752834274552212,11.428014139528386,1.6771737856254945,1915.04,315.99282864505335,1.001051626113145,0.0015944343237495006,1.1594276972865716,0.2660794437266287,1.8929617215610959,49.17837883741667
0.1,hotspot,1.0,50,33.34021505987039,20.550425226537545,5733.02,3555.9070629599087,1.0,0.0,1.0,0.0,1.0,0.0,20.41637413931312,5.518808161070288,3411.78,968.3945959521809,1.0030363726733498,0.007659110267494737,1.54369876623087,1.1625061045441236,1.6330135229874894,40.488956954624264,32.13236080046045,15.748160892287295,5162.16,2604.84743068435,1.00017332508764,0.000959678583650787,1.039095179467622,0.15839395899282546,1.037589963181063,9.957404648858725,12.292329079355113,1.5988694612301695,2064.26,308.97208182445667,1.0089199267458597,0.013393928499786536,2.2315788502377343,1.7216413054144055,2.712278108130465,63.99349731903953
0.1,hotspot,2.0,50,37.654365820926614,22.640326524783703,6477.56,3912.0579487381974,1.0,0.0,1.0,0.0,1.0,0.0,21.16060919885058,10.512402400633492,3362.82,868.3638071872025,1.0190376705338837,0.03272065798556489,2.681137249596232,2.4620150181321407,1.7794556606135874,48.085081419546874,33.7499016802758,13.12019447085409,5495.56,2238.212690373044,1.0014659546992817,0.00470168966482968,1.1092956650000563,0.3988293584038185,1.1156881634097522,15.16002939378408,11.791348420083523,1.5578304531066824,1993.5,289.9731338716519,1.0399350613291545,0.04915466893428058,4.295972646782623,3.8761253902373602,3.1933892952219196,69.22452281414606
0.1,uniform,0.5,50,52.52996833965881,2.7802801075126844,9598.02,441.0274872270388,1.0,0.0,1.0,0.0,1.0,0.0,27.40960340073798,10.9555332658135,4710.34,102.14247951978149,1.0,0.0,1.0,0.0,1.916480423727856,50.9238363745856,55.81552568037296,2.8664670995573207,9549.44,406.64496674567584,1.0,0.0,1.0,0.0,0.941135422435527,0.5061460592913902,13.347516759240534,0.48837832439673967,2498.98,88.49478019888505,1.0002786125211005,0.0007621488726811067,1.0005774008600097,0.0015795069140356226,3.9355611449816776,73.96358832342504
0.1,uniform,1.0,50,78.5969624601421,2.6495348982160323,14421.84,366.754344742847,1.0,0.0,1.0,0.0,1.0,0.0,27.69989088177681,10.691752052232358,4897.9,42.06906372203902,1.0,0.0,1.0,0.0,2.837446645389113,66.03831411248495,69.32310754113132,2.6613083159887108,12045.6,203.47872575956114,1.0,0.0,1.0,0.0,1.1337772533279518,16.476677039822928,13.40678082080558,0.599752319973815,2539.06,76.9148508788406,1.0002551216576527,0.0007731387126261555,1.0004831052521617,0.001464052559992651,5.862478361559386,82.39434080533414
0.1,uniform,2.0,50,114.19682162028039,13.314787804130328,20494.06,335.1737539040348,1.0,0.0,1.0,0.0,1.0,0.0,25.82339575921651,0.6628595041285821,4990.2,33.55166591563354,1.0,0.0,1.0,0.0,4.4222232693592565,75.65050556112357,74.09988580096979,1.7578990428406551,13334.62,120.98690939476866,1.0,0.0,1.0,0.0,1.5411200757719095,34.93421996422378,13.04967666103039,0.550800074084533,2563.32,75.72275963361751,1.0001736126769052,0.0009071559440435728,1.0002889260497958,0.0015092874092236435,8.750931121634666,87.49237583963352
0.2,gradient,0.5,50,106.16843924042769,10.30390839704874,18818.26,505.7453101863726,1.0,0.0,1.0,0.0,1.0,0.0,24.780843338521663,8.856850159813028,4436.9,35.8922707841231,1.0,0.0,1.0,0.0,4.2842948397720395,76.42236848677827,77.98372331919381,10.264537777453006,13431.28,247.4613999996685,1.0,0.0,1.0,0.0,1.361417930840151,28.626344837407913,18.488618380506523,0.9408301017724631,3438.2,87.41946731309979,1.0003749193510552,0.0011095470321749092,1.0008746459056013,0.0028628846725303153,5.742367388163866,81.72944788731795
