density,n_missions,astar_success_rate,astar_nodes_mean,astar_nodes_std,astar_time_mean,astar_time_std,astar_replans_mean,dstar_success_rate,dstar_nodes_mean,dstar_nodes_std,dstar_time_mean,dstar_time_std,dstar_replans_mean,ils_success_rate,ils_nodes_mean,ils_nodes_std,ils_time_mean,ils_time_std,ils_replans_mean,dstar_node_red_pct,ils_node_red_pct,dstar_path_ratio_mean,ils_path_ratio_mean
0.1,40,0.65,6233.725,2235.263306780887,28.547397799047758,10.226213895387849,9.5,0.425,9737.625,15348.712769358935,396.5528085205733,614.9613940915872,7.25,0.7,6725.075,3013.1824252049696,36.554270725901006,18.75865165811464,9.525,-56.20876763091087,-7.882125053639677,1.381380384460929,1.773772481737328
0.2,40,0.625,12463.925,3284.417681576337,53.82355594992987,14.38853259017007,10.15,0.275,10382.85,14024.198915007313,410.7739677252539,556.6736625263461,6.05,0.675,13163.975,3218.0388635882105,62.451529598547495,13.83006491797385,10.775,16.696786927071518,-5.616609535118355,0.7444549787953494,1.5136595772415269
0.3,40,0.725,19992.825,6448.031402574723,79.05241557637055,23.74486302582171,11.175,0.175,9383.55,9298.765534143462,359.9688809510553,365.84274303918426,5.125,0.675,16293.35,3141.802328975993,69.9818837823841,14.024438499136137,11.225,53.06541221663272,18.504013314776678,0.6229285763818748,1.576889635910947
